posting_id,location,city,state,scope
adzuna_5875204655,"Ator Nagla, Ghaziabad",Unknown,Unknown,Unresolved
adzuna_5874287845,"Ahmedabad, Gujarat",Ahmedabad,Gujarat,City
adzuna_5874134576,"Karnataka, India",Unknown,Karnataka,State
adzuna_5873277903,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5873204171,India,Nationwide,All India,Nationwide
adzuna_5873073802,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5873073745,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5873073596,India,Nationwide,All India,Nationwide
adzuna_5872825731,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5872266164,India,Nationwide,All India,Nationwide
adzuna_5872200137,"Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,City
adzuna_5872098391,India,Nationwide,All India,Nationwide
adzuna_5871993046,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5871992907,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5871992384,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
adzuna_5871992217,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
adzuna_5871992153,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5871991986,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5871991935,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5871991896,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5871991638,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5871530691,"Pune, Maharashtra",Pune,Maharashtra,City
adzuna_5871352577,India,Nationwide,All India,Nationwide
adzuna_5871276654,"Kolkata, West Bengal",Kolkata,West Bengal,City
adzuna_5870859811,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5870857169,India,Nationwide,All India,Nationwide
adzuna_5870857069,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5870857067,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5870768887,India,Nationwide,All India,Nationwide
adzuna_5870693506,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5870693437,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5870528406,India,Nationwide,All India,Nationwide
adzuna_5870528287,"Noida, Ghaziabad",Noida,Unknown,City
adzuna_5870527956,India,Nationwide,All India,Nationwide
adzuna_5870527967,India,Nationwide,All India,Nationwide
adzuna_5870527827,India,Nationwide,All India,Nationwide
adzuna_5870527563,India,Nationwide,All India,Nationwide
adzuna_5870527502,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5870527464,India,Nationwide,All India,Nationwide
adzuna_5870527304,India,Nationwide,All India,Nationwide
adzuna_5870527270,"Kochi, Ernakulam",Kochi,Unknown,City
adzuna_5869803335,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5869559140,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5869558783,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5869558747,India,Nationwide,All India,Nationwide
adzuna_5868794827,India,Nationwide,All India,Nationwide
adzuna_5868794225,India,Nationwide,All India,Nationwide
adzuna_5868791758,India,Nationwide,All India,Nationwide
adzuna_5868789197,"Vijayawada, Krishna",Vijayawada,Unknown,City
adzuna_5868120206,"Pune, Maharashtra",Pune,Maharashtra,City
adzuna_5867727348,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
adzuna_5867270472,India,Nationwide,All India,Nationwide
adzuna_5867270200,India,Nationwide,All India,Nationwide
adzuna_5867265799,India,Nationwide,All India,Nationwide
adzuna_5867264943,India,Nationwide,All India,Nationwide
adzuna_5867263656,India,Nationwide,All India,Nationwide
adzuna_5867263603,India,Nationwide,All India,Nationwide
adzuna_5867263586,India,Nationwide,All India,Nationwide
adzuna_5867263635,India,Nationwide,All India,Nationwide
adzuna_5867263523,India,Nationwide,All India,Nationwide
adzuna_5867263507,India,Nationwide,All India,Nationwide
adzuna_5867251706,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
adzuna_5867249928,"Noida, Ghaziabad",Noida,Unknown,City
adzuna_5867222082,India,Nationwide,All India,Nationwide
adzuna_5867222059,India,Nationwide,All India,Nationwide
adzuna_5867115068,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5867038192,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5867038166,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5867037969,India,Nationwide,All India,Nationwide
adzuna_5867037378,India,Nationwide,All India,Nationwide
adzuna_5867036131,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5867036118,India,Nationwide,All India,Nationwide
adzuna_5867036109,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
adzuna_5867036086,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5867036037,India,Nationwide,All India,Nationwide
adzuna_5867036054,"Gujarat, India",Unknown,Gujarat,State
adzuna_5866927385,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5866922840,"Vadodara, Gujarat",Vadodara,Gujarat,City
adzuna_5866126726,"Gurgaon, Haryana",Gurgaon,Haryana,City
adzuna_5865286055,India,Nationwide,All India,Nationwide
adzuna_5865169472,"Chauth Ka Barwara, Sawai Madhopur",Unknown,Unknown,Unresolved
adzuna_5865065103,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
adzuna_5864594008,India,Nationwide,All India,Nationwide
adzuna_5864443205,India,Nationwide,All India,Nationwide
adzuna_5864443271,India,Nationwide,All India,Nationwide
adzuna_5864443196,India,Nationwide,All India,Nationwide
adzuna_5864442886,India,Nationwide,All India,Nationwide
adzuna_5864442719,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5864442750,India,Nationwide,All India,Nationwide
adzuna_5864442505,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5864442476,India,Nationwide,All India,Nationwide
adzuna_5864441497,India,Nationwide,All India,Nationwide
adzuna_5864441282,India,Nationwide,All India,Nationwide
adzuna_5864440835,India,Nationwide,All India,Nationwide
adzuna_5864439916,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5864439568,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5864439271,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5864438932,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5864438660,"Bangalore, Karnataka",Bangalore,Karnataka,City
adzuna_5864437606,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5864437348,"Hyderabad, Telangana",Hyderabad,Telangana,City
adzuna_5864437297,"Chennai, Tamil Nadu",Chennai,Tamil Nadu,City
adzuna_5864437276,"Mumbai, Maharashtra",Mumbai,Maharashtra,City
