posting_id,skill,match_type,confidence
adzuna_5875204655,KPI,explicit,1.0
adzuna_5874287845,Data Analysis,explicit,1.0
adzuna_5874134576,Data Analysis,alias,0.95
adzuna_5873073745,Python,explicit,1.0
adzuna_5873073745,AWS,explicit,1.0
adzuna_5871993046,SQL,explicit,1.0
adzuna_5871993046,ETL,explicit,1.0
adzuna_5871993046,Spark,explicit,1.0
adzuna_5871992907,SQL,explicit,1.0
adzuna_5871992907,Data Analysis,alias,0.95
adzuna_5871992907,GCP,explicit,1.0
adzuna_5871992907,BigQuery,explicit,1.0
adzuna_5871992384,SQL,explicit,1.0
adzuna_5871992384,Excel,explicit,1.0
adzuna_5871992384,Power BI,explicit,1.0
adzuna_5871992384,Tableau,explicit,1.0
adzuna_5871992384,Looker,explicit,1.0
adzuna_5871991896,Data Analysis,alias,0.95
adzuna_5871991896,Business Analysis,explicit,1.0
adzuna_5871991896,GCP,explicit,1.0
adzuna_5871991638,Data Analysis,explicit,1.0
adzuna_5871530691,Business Analysis,alias,0.95
adzuna_5871352577,Power BI,explicit,1.0
adzuna_5871352577,Data Warehousing,explicit,1.0
adzuna_5870527967,Excel,explicit,1.0
adzuna_5870527967,Data Analysis,alias,0.95
adzuna_5870527967,Power BI,explicit,1.0
adzuna_5870527827,Data Analysis,alias,0.95
adzuna_5870527563,SQL,explicit,1.0
adzuna_5870527563,Data Analysis,explicit,1.0
adzuna_5870527563,ETL,explicit,1.0
adzuna_5870527502,GCP,explicit,1.0
adzuna_5870527502,Snowflake,explicit,1.0
adzuna_5870527502,Databricks,explicit,1.0
adzuna_5870527464,SQL,explicit,1.0
adzuna_5870527464,AWS,explicit,1.0
adzuna_5870527270,Power BI,explicit,1.0
adzuna_5869803335,SQL,explicit,1.0
adzuna_5869803335,Statistics,explicit,1.0
adzuna_5869803335,Data Visualization,explicit,1.0
adzuna_5869803335,Tableau,explicit,1.0
adzuna_5869803335,Python,explicit,1.0
adzuna_5869559140,Data Analysis,explicit,1.0
adzuna_5868794225,Statistics,alias,0.95
adzuna_5868794225,Data Analysis,explicit,1.0
adzuna_5868794225,Data Visualization,alias,0.95
adzuna_5868789197,SQL,explicit,1.0
adzuna_5868789197,Excel,explicit,1.0
adzuna_5868789197,Statistics,alias,0.95
adzuna_5868789197,Data Analysis,alias,0.95
adzuna_5868789197,Power BI,explicit,1.0
adzuna_5868789197,Tableau,explicit,1.0
adzuna_5868120206,SQL,explicit,1.0
adzuna_5868120206,Data Analysis,explicit,1.0
adzuna_5867265799,Data Visualization,alias,0.95
adzuna_5867265799,Power BI,explicit,1.0
adzuna_5867263586,SQL,explicit,1.0
adzuna_5867263586,GCP,explicit,1.0
adzuna_5867263586,BigQuery,explicit,1.0
adzuna_5867263507,SQL,explicit,1.0
adzuna_5867263507,Power BI,explicit,1.0
adzuna_5867263507,Python,explicit,1.0
adzuna_5867263507,AWS,explicit,1.0
adzuna_5867263507,Spark,alias,0.95
adzuna_5867263507,Databricks,explicit,1.0
adzuna_5867249928,SQL,explicit,1.0
adzuna_5867249928,Data Analysis,explicit,1.0
adzuna_5867249928,Snowflake,explicit,1.0
adzuna_5867222059,GCP,explicit,1.0
adzuna_5867222059,BigQuery,explicit,1.0
adzuna_5867037378,Data Analysis,explicit,1.0
adzuna_5867036131,SQL,explicit,1.0
adzuna_5867036131,Azure,explicit,1.0
adzuna_5867036131,ETL,explicit,1.0
adzuna_5867036131,Databricks,explicit,1.0
adzuna_5867036118,KPI,explicit,1.0
adzuna_5867036037,Machine Learning,explicit,1.0
adzuna_5865169472,SQL,explicit,1.0
adzuna_5865169472,Data Analysis,explicit,1.0
adzuna_5864594008,Data Analysis,alias,0.95
adzuna_5864443205,SQL,explicit,1.0
adzuna_5864443205,Python,explicit,1.0
adzuna_5864443205,PostgreSQL,explicit,1.0
adzuna_5864443205,Azure,explicit,1.0
adzuna_5864443205,Snowflake,explicit,1.0
adzuna_5864442719,SQL,explicit,1.0
adzuna_5864442719,GCP,explicit,1.0
adzuna_5864442719,BigQuery,explicit,1.0
adzuna_5864442719,Spark,alias,0.95
adzuna_5864442719,Data Warehousing,explicit,1.0
adzuna_5864441497,Power BI,explicit,1.0
adzuna_5864441497,Spark,explicit,1.0
adzuna_5864441497,Databricks,explicit,1.0
adzuna_5864439568,Python,explicit,1.0
adzuna_5864439568,GCP,explicit,1.0
adzuna_5864439568,ETL,explicit,1.0
adzuna_5864439271,SQL,explicit,1.0
adzuna_5864439271,ETL,explicit,1.0
adzuna_5864438932,Snowflake,explicit,1.0
adzuna_5864438660,SQL,explicit,1.0
adzuna_5864438660,Python,explicit,1.0
adzuna_5864438660,ETL,explicit,1.0
adzuna_5864438660,Spark,explicit,1.0
adzuna_5864438660,Data Warehousing,alias,0.95
adzuna_5864437297,Power BI,explicit,1.0
adzuna_5864437276,Power BI,explicit,1.0
adzuna_5864437276,Looker,explicit,1.0
adzuna_5864435864,Data Analysis,alias,0.95
adzuna_5864435640,KPI,alias,0.95
adzuna_5864435640,Power BI,explicit,1.0
adzuna_5864434849,Machine Learning,alias,0.95
adzuna_5864434823,Data Analysis,alias,0.95
adzuna_5864433680,AWS,explicit,1.0
adzuna_5864433680,ETL,explicit,1.0
adzuna_5864433680,SSIS,explicit,1.0
adzuna_5864433088,SQL,explicit,1.0
adzuna_5864432450,SQL,explicit,1.0
adzuna_5864432450,Python,explicit,1.0
adzuna_5864432450,Spark,alias,0.95
adzuna_5864432449,SQL,explicit,1.0
adzuna_5864432449,Data Visualization,explicit,1.0
adzuna_5864432410,SQL,explicit,1.0
adzuna_5864432410,ETL,explicit,1.0
adzuna_5864431866,Data Analysis,alias,0.95
adzuna_5864431665,SQL,explicit,1.0
adzuna_5864431665,ETL,explicit,1.0
adzuna_5864431703,Data Analysis,explicit,1.0
adzuna_5864431703,Power BI,explicit,1.0
adzuna_5864431325,Python,explicit,1.0
adzuna_5864430870,AWS,explicit,1.0
adzuna_5864430870,ETL,explicit,1.0
adzuna_5864430870,Data Warehousing,alias,0.95
adzuna_5864430403,Machine Learning,explicit,1.0
adzuna_5864430306,Azure,explicit,1.0
adzuna_5864430306,Databricks,explicit,1.0
adzuna_5864429089,AWS,explicit,1.0
adzuna_5864429089,ETL,explicit,1.0
adzuna_5864428871,GCP,explicit,1.0
adzuna_5864428871,ETL,explicit,1.0
adzuna_5864428871,Machine Learning,explicit,1.0
adzuna_5864428383,MySQL,explicit,1.0
adzuna_5864427756,SQL,explicit,1.0
adzuna_5864427756,Data Analysis,explicit,1.0
adzuna_5864427756,Power BI,explicit,1.0
adzuna_5864427756,Tableau,explicit,1.0
adzuna_5864427756,Python,explicit,1.0
adzuna_5864427756,ETL,explicit,1.0
adzuna_5864427756,Spark,explicit,1.0
adzuna_5864427756,Databricks,explicit,1.0
adzuna_5864427373,SQL,explicit,1.0
adzuna_5864427373,Data Analysis,alias,0.95
adzuna_5864427373,Business Analysis,explicit,1.0
adzuna_5864427382,AWS,explicit,1.0
adzuna_5864426421,Data Analysis,explicit,1.0
adzuna_5864426421,Python,explicit,1.0
adzuna_5864426328,Data Analysis,alias,0.95
adzuna_5864425686,SQL,explicit,1.0
adzuna_5864425686,Snowflake,explicit,1.0
adzuna_5864425686,ETL,explicit,1.0
adzuna_5864425686,Data Warehousing,alias,0.95
adzuna_5864424975,SQL,explicit,1.0
adzuna_5864424975,Azure,explicit,1.0
adzuna_5864424975,Snowflake,explicit,1.0
adzuna_5864424975,ETL,explicit,1.0
adzuna_5864424584,Python,explicit,1.0
adzuna_5864424584,AWS,explicit,1.0
adzuna_5864424584,Azure,explicit,1.0
adzuna_5864424584,Spark,alias,0.95
adzuna_5864424584,Data Warehousing,alias,0.95
adzuna_5864423735,Data Analysis,explicit,1.0
adzuna_5864423387,SQL,explicit,1.0
adzuna_5864423387,Python,explicit,1.0
adzuna_5864423387,PostgreSQL,explicit,1.0
adzuna_5864423387,GCP,explicit,1.0
adzuna_5864423387,ETL,explicit,1.0
adzuna_5864423387,Data Warehousing,alias,0.95
adzuna_5864423408,SQL,explicit,1.0
adzuna_5864423408,Python,explicit,1.0
adzuna_5864423371,Azure,explicit,1.0
adzuna_5864423371,Spark,alias,0.95
adzuna_5864423371,Databricks,explicit,1.0
adzuna_5862281099,SQL,explicit,1.0
adzuna_5862281099,Data Analysis,explicit,1.0
adzuna_5862281099,ETL,explicit,1.0
adzuna_5861965986,Power BI,explicit,1.0
adzuna_5861238945,SQL,explicit,1.0
adzuna_5861238945,Power BI,explicit,1.0
adzuna_5861238945,Python,explicit,1.0
adzuna_5861221729,SQL,explicit,1.0
adzuna_5861221729,Power BI,explicit,1.0
adzuna_5861221729,Looker,explicit,1.0
adzuna_5861221729,Python,explicit,1.0
adzuna_5861219353,Power BI,explicit,1.0
adzuna_5860541729,SQL,explicit,1.0
adzuna_5860541729,Excel,explicit,1.0
adzuna_5860541729,Tableau,explicit,1.0
adzuna_5860541729,Python,explicit,1.0
adzuna_5859122691,SQL,explicit,1.0
adzuna_5859122691,Data Analysis,explicit,1.0
adzuna_5859122688,SQL,explicit,1.0
adzuna_5859122688,Data Analysis,explicit,1.0
adzuna_5859122632,SQL,explicit,1.0
adzuna_5859122632,Data Analysis,explicit,1.0
adzuna_5859122647,SQL,explicit,1.0
adzuna_5859122647,Data Analysis,explicit,1.0
adzuna_5859122633,Data Visualization,alias,0.95
adzuna_5859122619,SQL,explicit,1.0
adzuna_5859122619,Python,explicit,1.0
adzuna_5859122596,Data Visualization,alias,0.95
adzuna_5859122606,SQL,explicit,1.0
adzuna_5859122606,Python,explicit,1.0
adzuna_5859117504,Data Analysis,explicit,1.0
adzuna_5859117504,Power BI,explicit,1.0
adzuna_5859054156,SQL,explicit,1.0
adzuna_5859054156,Data Analysis,alias,0.95
adzuna_5858724416,KPI,alias,0.95
adzuna_5858205145,SQL,explicit,1.0
adzuna_5858205145,Excel,explicit,1.0
adzuna_5858131073,SQL,explicit,1.0
adzuna_5858131073,Python,explicit,1.0
adzuna_5858131073,SQL Server,explicit,1.0
adzuna_5858131073,Azure,explicit,1.0
adzuna_5858131073,ETL,explicit,1.0
adzuna_5858131073,SSIS,explicit,1.0
adzuna_5857746715,Power BI,explicit,1.0
adzuna_5857746715,Tableau,explicit,1.0
adzuna_5857745620,SQL,explicit,1.0
adzuna_5857745620,Data Analysis,alias,0.95
adzuna_5857745620,Power BI,explicit,1.0
adzuna_5857745620,Python,explicit,1.0
adzuna_5857745620,PostgreSQL,explicit,1.0
adzuna_5854877634,SQL,explicit,1.0
adzuna_5854877634,Data Analysis,explicit,1.0
adzuna_5854877634,Spark,alias,0.95
adzuna_5851860321,Data Analysis,explicit,1.0
adzuna_5850636017,Statistics,explicit,1.0
adzuna_5850636017,Data Visualization,alias,0.95
adzuna_5850636017,R,explicit,1.0
adzuna_5850376549,SQL,explicit,1.0
adzuna_5850376549,Tableau,explicit,1.0
adzuna_5850376549,Python,explicit,1.0
adzuna_5850376089,Power BI,explicit,1.0
adzuna_5850375378,Data Analysis,alias,0.95
adzuna_5850375334,SQL,explicit,1.0
adzuna_5850375334,Statistics,explicit,1.0
adzuna_5850375334,Tableau,explicit,1.0
adzuna_5850375334,Looker,explicit,1.0
adzuna_5850375334,Python,explicit,1.0
adzuna_5850375334,ETL,explicit,1.0
adzuna_5850243877,Excel,explicit,1.0
adzuna_5849858928,Data Analysis,explicit,1.0
adzuna_5849858928,R,explicit,1.0
adzuna_5843891866,SQL,explicit,1.0
adzuna_5843891866,Data Analysis,explicit,1.0
adzuna_5842590109,Data Analysis,alias,0.95
adzuna_5842590109,Machine Learning,explicit,1.0
adzuna_5841481304,SQL,explicit,1.0
adzuna_5841481304,Power BI,explicit,1.0
adzuna_5839221139,Excel,explicit,1.0
adzuna_5839221139,Tableau,explicit,1.0
adzuna_5838433598,Business Analysis,alias,0.95
adzuna_5837139892,Python,explicit,1.0
adzuna_5837139892,Spark,alias,0.95
adzuna_5834763905,Data Analysis,alias,0.95
adzuna_5834763905,Data Warehousing,explicit,1.0
adzuna_5832798187,SQL,explicit,1.0
adzuna_5832798187,Excel,explicit,1.0
adzuna_5832798187,Data Analysis,alias,0.95
adzuna_5832798187,Power BI,explicit,1.0
adzuna_5832798187,Tableau,explicit,1.0
adzuna_5832798187,Python,explicit,1.0
adzuna_5832798187,Pandas,explicit,1.0
adzuna_5832798181,SQL,explicit,1.0
adzuna_5832798181,Excel,explicit,1.0
adzuna_5832798181,Data Analysis,alias,0.95
adzuna_5832798181,Power BI,explicit,1.0
